Review Title,Username,Review Date,Review,Hate Speech,Explanation
Disappointed,charlesodrechowski,16 January 2023,Don't ever forget why people loved the first game. That is the lesson for the developers. The way the the game was promoted and the way the game turned out are worlds apart. And Naughty Dog knows it. The click bait during the trailers is unforgivable. If you are going to completely change the storyline then don't have a trailer that is completely opposite of that. You know why people loved the first game and that is what you used to sell the second one . No one expected a fairytale sequel but the way it was done was weak. The game seemed more about promoting agendas instead of creating a sequel worthy of the first game.,0.0,No hate speech detected.
"Terrible, terrible just wrong",akunmasady,29 August 2022,Naughty dog has lost me as a fan and as a customer forever. I know my not buying their product is insignificant to them. This game is was the equivalent to painting the Mona Lisa and finishing it up with a smiley face instead of taking it the time to do it right. I also know the creator believes this to be the great ending to his masterpiece. The same as M. Night Shyamalan believes 'glass' to also be a great ending to his trilogy. Both terrible endings written by creators wearing rose colored glasses. Killing Joel and trying to make Abby likable is impossible to me. I don't care about her motives or her dad. She should have died on that cross with a bullet in her head.,1.0,Hate speech detected in categories: violence
Frustrating story,bilaldar-07517,11 January 2022,"Inspite the story everything else is worth the playing but don't expect that you will try to replay it time and again just like the last of us 1 It will become boring even with that much high visuals and strong gameplay mechanics if you love the part one you will quit after completing the story.In end you will left disappointed and unsatisfied which is not an entertainment goal.What makes you stick to game and replay it time and again is the story which is big disappointment.Now when I play its first part which is ofcourse my favorite maybe of everyone I just feel bad because I know how its story ended.So thanks for ruining the story putting that much unusual violence in the game.I played it no doubbt maybe play it again in future but if i do so then i will first forget the story otherwise I will quit.People here asking the game is good with its mechanics gameplay and visuals I say Days gone beat it far far away.One last thing is that 1st was favorite due to strong story the only reason 2nd part was become famous undoubtedly sold with larg number of copies digital and discs version.Not expected that from a producer, Director of such a big hit titles in the past.",0.0,No hate speech detected.
Spoilers ahead,ironkadett,14 November 2021,"In the trailers they clearly lied telling it would have Joel in it. Nonsense, because Abby kills him, and the best is that the game forces you to play as Abby later in the game.Story: Total nonsense, and if you are a bit more clever than a rock, you can clearly see the plot armor in ever corner. Nothing makes sense, and the game wants you to love these characters, like Abby and her father by showing you only one scene. A weak attempt I believe.Characters: Weak, no sense at all, and were destroyed by Neil Druckman. I'm talking about Ellie, Joel, literally everyone
Grafics and gameplay: oh, they are good. To bad they were wasted in such a failure of a game.TL:DR
Game is bad, don't buy.",1.0,Hate speech detected in categories: violence
No. Just no.,fkbkwf,10 November 2021,"There is no way I am accepting this game to win the 2020 Game of the Year Award. No! That award should gone to Ghosts of Tsushima.Playing this game once was enough for me, and I found it painfully hard to keep going as soon as I learned that you play as Abby the majority of the game. To this day I still don't understand why people even like her. To say she was poorly written is sugarcoating it. There is absolutely zero depth to her at all. Besides, who wants to play as her after she kills Joel, the very character we fell in love with in the first game? Joel should have gotten a way better send off than what he got!I want to give it a higher grade just for the great visuals and intriguing gameplay, but the story just kills it. They did so many things out of convenience that benefitted Abby she was unlikeable, and to demonize Ellie to force us to like Abby is unacceptable.It is so painfully obvious that Neil and Naughty Dog paid off the critics to give this game 10/10 ratings for it to win almost every single award during last year's GotY Awards.",1.0,Hate speech detected in categories: violence
A Whole Other Level of Bad!,thet-38815,8 October 2021,"This game is just horrendous, the original is a one trillion times better than this! Like seriously wtf is this piece of trash?! This doesn't look anything like the original at all! Ellie is now a huge jerk even bigger than she was in the original, and Joel is now portrayed as a weak noodle in comparison to his character from the original. The graphics are mediocre looking with horrible 2003 looking textures! My point is that the original does EVERYTHING! Better than this!!! THIS is the worst game I have ever played hands down! The 8.3/10 rating is totally false!",0.0,No hate speech detected.
Only play when it's free,addictivegamer-70000,6 October 2021,"I waited this game become free to play this month. Honesty, a fantastic game. But story line ruined everything. Period.",0.0,No hate speech detected.
Worst game ever!,warmingheart-40201,30 September 2021,"This game is even worse than sticking your head inside of a burning pit of acid! There is just little to NO logic whatsoever. Characts are badly flanderized, stiry is complete nonsense, and overall horrid visuals! If you were to subtract 7 from 8.3 than that would be the actual score, because an 8.3 is certainly not what this game deserves!",0.0,No hate speech detected.
classic bait and switch,LibyanMo,28 September 2021,Many fans of the first game will be rudely surprised by the woke twists and turns in this sequel. Interactive movie fans and Seattle goths will enjoy this leftist story.,0.0,No hate speech detected.
Worst sequel known to man,yjfzrxcgk,12 September 2021,"Stay away from this game if you want a story on the level of LOU1. Only redeeming quality this game has is that the gameplay is enjoyable to some degree. Combat is better and stealth has been over hauled. This game could of been something more but because of change in leadership this game doesnt even know what it wants to be, writing is just that bad.",0.0,No hate speech detected.
druckmann worst writer in video gaming history,Nob0dy,23 July 2021,"This title was NOT ""review bombed"" lets get that out of the way right off the bat. People on social media, the ""woke"" crowd are the ones taking things out of context to suit their own attention seeking agenda. People do not hate this game because abby looks masculine, they hate this game because it is absolutely pathetic writing and abby is the worst character in video games in at least the past 20 years.The game takes place in a post apocalyptic world, the world has gone to hell and its a dangerous place. The characters are all flawed but at least Joel and Ellie are likeable despite their shortcomings.Abby is not.In the first game Joel kills some random NPC to save Ellie, its not the most pragmatic decision since there is a microscopic chance that the doctor killing Ellie could possibly, maybe someday in the future create a cure. His decision is not pragmatic but it is understandable, a man going to any lengths to protect his daughter figure because he cant bear to lose another child when the loss of his real daughter still weighs heavily on him.Abby's entire ""story"" is spendin literal years of her life, risking her neck as well as those of her friends on a self serving revenge quest because in a world of zombies, mutants, raiders, rapists, cannibals, a world with countless orphans, a world where people die horrifically on a daily basis, Abby thinks that her loss is greater than everyone else's and that she is the most important person on the planet so every one can and should put their lives on hold to help her take out her anger issues.The 2 motivations are not even remotely comparible, they are not even in the same galaxy.Abby is a bargain bin Ellie. Ellie goes on a revenge mission in this sequel true, but in the first game we learnt her back story organically, we saw her open up to Joel, we saw them bond, we saw them go through bad times together, we saw the good and sides of them both. Abby has literally none of that, no redeeming qualities, no endearing features, no history, no connection with the player.Ellie and Joel are imperfect but human. Abby can genuinelly be summed up entirely by saying "" someone took my dad me angy now"" and thats is, that is the entire depths of her ""character"". Forcing us to play as a one dimensional, insufferable a**hole of a character for hours and hours after she killed one of naught dogs most beloved characters ever is nothing short of moronic. Also at no point in the time playing as her are we given any reason at all to sympathize or empathize with her.She lost her dad, so what? Ellie was an orphan before her, Joel lost his daughter the same day the world went to hell. He also lost his new lover to soldiers while protecting Ellie. Abby's loss is nothing unique, she had not lost or suffered more than anybody else, in fact comapred to ellie and her experience with the fireflies or compared to joel and his smuggling and alcoholic years Abby had a relatively easy life, always in the comfort of a large group, always well fed, always housed somewhere reasonably safe. So what are we supposed to grow attached to? Her not at all unusual loss? Her cheating with the boyfriend of her pregnant friend? Her travelling for years on a self serving murder mission? There is genuinelly nothing to like about her character at all. She has the same base motivation as Ellie, but none of the qualities, none of the history, none of the growth, none of the development, none of the morals,Also lets not forget the most limp ending any naughty dog game has ever had. A long awaited sequel where we spend the entire experience playing as 2 women who are both out for vengeance, the one least deserving of it gets hers but when the time finally arrives for the protagonist to do what she set out to do she changes her mind for no reason whatsoever. She treked across the states, lost more loved ones, potentially ruined her relationship, lost fingers, killed small time people who never caused her any harm, but she comes face to face with the trash character who took her father figure and in the final second with no rhyme or reason whatsoever she decides to puss out and walk home.So to summarize
1:The likeable character with a connection to the players goes through a lot of stuff, causes a lot of death, loses loved ones of her own and then simply backs out of her mission and turns and walks home, making the entire experience compeltely and utterly pointless because we are forced to see the most limp, unrewarding ""ending"" in video game history. Yes, it is even worse than the mass effect 3 red, blue,green bs2: We are forced to spend hours in the shoes of a one dimensional, ellie rip off which at no point gives us any reason to grow attached to.Whoever at naughty dog thought it would be a good idea to give druckmann complete control over one of their most anticipated games ever should be fired. He was in charge of writing, casting and even directing and what was the result of that? A lackluster story with no discernable ending and that revolves mostly around his own character who is nothing more than a p**s poor, bargain bin, one dimensional, unlikeable rip off of Ellie. I could cover my floor with paper, give my dog laxatives and the resulting chaos would still yield a better story and more fleshed out, well rounded, developed character than Abby.Her apperance has nothing to do with her, her complete lack of character, her stealing screen time from likeable characters, her detached, uninteresting, whiney and self important ""story"" are why peopple dont like her. Druckmann and his creation of Abby are entirely responsible for ruining one of the most anticipated sequels of our generation.",1.0,Hate speech detected in categories: violence
A Bad Video Game!,charliepool-55459,10 July 2021,"This video game is bad, the first one is a gem that deserves to be cherished forever and ever. However this game deserves to be cherished in a garbage can! The characters are all shallow and unlikable ESPECIALLY Ellie. The story is garbage, with terrible voice acting and terrible pacing. Don't play this game.",0.0,No hate speech detected.
8.3/10 Is Such A Lie Lol,kercherdillon,28 April 2021,"The first game is arguably the best game of the generation (inarguably in the top 5). This sequel has no choice but to be compared to that and it is AWFUL. To be fair, if it weren't a direct sequel to the first, we'd be looking at 1.0001/10.All of the critics praise this game and the reviews claim it's ""a masterpiece."" All people just pretending to be woke because the main character is a lesbian lol.Just read the reviews posted here. The first page is LOADED with negative reviews. How on earth it has an 8.3 rating is either just blatant manipulation of the number or a plethora of people ranking fake high scores.The only reason I even finished the game was to be certain it was in fact a 1/10.Conclusion: I was wrong. It's actually a 0/10.",0.0,No hate speech detected.
I'm very disappointed...,doublededdboisockhead,19 February 2021,Wow...just wow...look at what Naughty Dog did to what was one of my favorite games of all time...wow what waste of so much effort put into such a disappointment of a sequel....,0.0,No hate speech detected.
IGN if this is your idea of a 10/10 than yall are just brainwashed,backuplenny,4 February 2021,"A 10/10 is very unfitting for such a disappointment as this monstrosity right here, thanks for listening to Neil Druckmann and rating this a 10/10 we all thought we could count on yalls reviews, but apparently we can't...",0.0,No hate speech detected.
The End of Us,rws_20,17 December 2020,"I honestly never thought I'd be insulted by a game, but here we are.Instead of just giving the fans the game they had been waiting for - for 7 years - Druckmann tries desperately to be ""edgy"" and ""different"" and gives the fans exactly what they DIDN'T want, with the idea behind the absolute MESS of a story being that the characters do not live in a perfect world, so things aren't allowed to workout the way the player wants them to.Well guess what Neil? IT'S A FICTIONAL STORY, OF A FICTIONAL WORLD! The beginning, middle and end can be whatever the hell you want it to be, that's the beauty of storytelling.Why in God's name they took this utterly ridiculous route with one of the most beloved game franchises EVER, is completely beyond me.Only thing I can think of is that they felt the need to try and pander to these ludicrous times we all find ourselves in, and that thought transformed the game into something that nobody ever wanted it to be.But the fact that this game panders to today's politically correct ideologies wasn't even my problem with it. You have to remember: it's a story-based game, the story drives the entertainment. You can have beautiful graphics and decent gameplay, but if the story isn't there, you're wasting your time, and for me, the story definitely wasn't there this time around.I mean, the first story was so entertaining, so beautiful, so emotionally gripping, and you really build a strong love for the characters the more you play and get to know them. The second story was choppy, all over the place, mostly boring, and I just didn't care about the characters or what becomes of them (despite the game desperately trying to make me like and sympathise with them).But if you don't like this game then apparently you just ""didn't get it"" and you're automatically racist, sexist, and God knows what else-ist. No, I fully understood the narrative and the message behind it, I have no gripe if they want to introduce new characters, I just didn't like the painfully terrible direction they took with the story and character progression, okay?",1.0,Hate speech detected in categories: group
It for nothing,alnajjatahmad,11 December 2020,"Bad game,the story is very bad , the characters are very bad the game it's made for nothing",0.0,No hate speech detected.
A messy game,moseshlimpuia,5 December 2020,"How do Naughty Dog messed up such a beautiful game. The gameplay is so good and the graphic is so beautiful. However, people liked TLOU not because of the graphic but because of the story. How could you let a random character take over the game like that! Ellie and Joel deserves better.",0.0,No hate speech detected.
The Last of Naughty Dog,yolibarvueswag,10 October 2020,"Like, just why? How do you screw up one of the biggest Sony games of all time with whatever the heck this abomination is? Imagine just waiting 7 years for something you loved, only for it to be a complete train wreck.The gameplay is just so generic and cookie cutter, like, it's just Resident Evil 4 combined with Metal Gear Solid, more specifically Guns of the Patriots, and boy, is it a coincidence. Neil Drunkmann over here thinking he's Hideo Kojima, but he fails. Hideo Kojima, is Hideo Kojima, and you can't and won't ever copy that.The story is just as, if not, even more bland and uninspired than the gameplay. Not only is the game 25 hours long, it is 25 hours of pain and misery. The story has plot holes, the ending is god awful, obnoxious, and in case if it wasn't obvious, people play games for fun. Nobody plays games for unpopular politics, lesbians, transgenders, false advertising, and to feel they've wasted 25 hours of their life. This genuinely feels more and should've been a movie instead. Honestly, Dragon's Lair feels more like a game than this.
The game, is extremely sexist, and offensive. The characters are severely dumbed down, just to force the plot, and even then, there's one obvious part that was incomprehensible. When something bad happens to one of the main characters, you're then forced to play as a villain.That's like in Uncharted where a villain kills Nathan Drake and you had to play as the villain immediately after.Also, the ending tries to tell a ""message"", but it makes no sense considering what you had to go through to get to the ending in the first place.This game did NOT need to exist. Nobody asked for a sequel, and while getting could be good, it was just the wrong direction.Overall, my biggest question is how on earth did Sony think a product like that was even close to acceptable?Also, Naughty Dog better NOT touch Jak & Daxter and Uncharted after whatever the heck this abomination is. Especially since 70% of the staff who made those have already left. I would rather have Jak & Daxter and Uncharted dead than to be tortured by the next EA wannabe. Sony should just shut down Naughty Dog. Nuff said.",1.0,"Hate speech detected in categories: violence, individual, group"
story makes the gameplay awful,taheriitaheriiarian,17 August 2020,Gameplay is really good but some how they managed to make the story so awful that it ruins the gameplay too lol,0.0,No hate speech detected.
It wants to be unpredictable at the cost of stupid acts,laboratoriodotelefone,15 August 2020,"Just to make my part, this the only way we can be heard. Disappointments from Brazil too, This game don't deserve 0 but is far from 10 I don't even bother to write a proper review. By GreyArlin in Metacritic Jun 19, 2020 (
This game is a mess, it wants to be unpredictable at the cost of stupid acts). Perfect definition.",1.0,Hate speech detected in categories: individual
0/10,visiion,31 July 2020,I couldn't believe it and I was thinking it could be a scam,0.0,No hate speech detected.
Sigh,abdullaholdgangsta,27 July 2020,"This game does not feel like a sequel to TLOU because it is not. It goes in a completely different direction, and while this may be a narrative technique it destroys TLOU as we knew it.The story is nothing more than a killing spree for the sake of revenge which is never fulfilled.",1.0,Hate speech detected in categories: violence
The writing is so bad. What a disappointment!,can-dartan,24 July 2020,"After the first game, I was eager for the second one. I wanted to play again with those great characters and learn more about their relationship. I was curious that if Ellie is going to find about what Joel did in the end of the first game or, I thought maybe they could give us more informations about Joel's past or why Ellie being immune and so on. But Druckmann said no. He totally destroyed the first game with killing Joel so early and so disrespectfully. Joel that we knew was suspicious, smart, always on alert but he and Tommy acted like amateurs, giving their names and location so easily. That was a big mistake from Cuckman. Another thing that was bothering me, if you kill the best character then you gotta bring another one who is at least as good as the first one. But they failed big time with that. I mean Abby and her friends Manny, Owen and Mel, they were really boring characters. They couldn't fulfill Joel's spot at all. Cuckman forced us to play with Abby for so long and I really couldn't understand her attachment to Lev. Why? Because she wants to be a boy? Abby literally back stabbed the wolfs for a kid that she knew for 3 days!!! How stupid was that. After all this plots and logical mistakes, I thought we could at least have our revenge and be done with it. But again Cuckman said no. Ellie killed hundreds of people, butchered dogs, broke up with Dina so that she could have her revenge. She even lost her fingers but in the end she somehow felt like it is not worth it. What a joke. Making a video game based on revenge and then not allowing the player have his revenge. I am very very dissapointed.",1.0,"Hate speech detected in categories: violence, individual"
Worst game ever,webwoyhssusfssaplj,20 July 2020,"This game made me feel nauseous. I wish I had never preordered this mess. I will never preorder again. And I will never buy another naughty dog game. It's not okay to murder main characters, and make me play as the murderer. It's not okay to make me commit animal abuse either. Some things should come with warnings. I don't leave reviews usually, but I feel that strongly about this.",0.0,No hate speech detected.
i wouldn't recommemd buying thus game,pijnluc,19 July 2020,"Just a big disappointment. I would rate it a 6 where part one is a 10 for me. The reason i give it a 1 is because the avrage is way too high and a lot of people just spam 10/10 scores, wich sinply isn't. I git misled by the ign review and that's why i bought it. I don't want other people to be misled. The graphics are amazing. The story isn't.",0.0,No hate speech detected.
Worst game,tim-bleeke3,12 July 2020,"They destroyed the game
Would not play or buy
Part one was a masterpiece but part two isn't worth any second.",1.0,Hate speech detected in categories: violence
Glad that's over with,Gabe7494,10 July 2020,"Being a huge fan of the first game, buying it multiple times for myself and friends to force them to see what they were missing, I hated this game. The gameplay and graphics were both amazing with only few moments of clunky controls or visual glitches, but that wasn't enough. TLOU is a story driven game, constantly toying with your emotions with your growing attachments to characters and driving you forward through a tension filled apocalypse. TLOU2 is a failed attempt at the same. The story begins and ends almost exactly the same as every other generic revenge plot, with the ending throwing in a plot twist in that the player doesn't get revenge. It spends about 24-30 hours telling you that you are a terrible person and you should feel bad about it because revenge is bad. The new characters are all bland additions, leaving no emotional impact when one dies aside from laughter on the occasion one of the ""bad guys"" gets what most feel they deserve. Some believe that the player is the bad guy, hence the quotes. Overall, I'd say this is a great game on its own. As a sequel to TLOU, it's insulting. I almost quit playing halfway through because I was feeling a sense of boredom I'd never felt playing a video game before. Take each review with a grain of salt, but don't be someone who thinks I ""didn't get what the developers were doing."" It doesn't take an advanced degree to understand a video game and it certainly doesn't for this one.",0.0,No hate speech detected.
Disappointing: Heavily Driven by Agendas,godlylove,8 July 2020,"As a huge fan of the first game, I found this sequel to be extremely disappointing. Here is my quick summary after playing the entire game:-1/10 for storyline, which was ruined by the obsessive nature of developers to force LGBTQ and feminist agendas/content into every aspect of the storyline. This made absolutely no sense and it did not flow with the storyline (they tried to fit a square into a circle). It's like the game was made purely to spread hardcore LGBTQ and feminist ideology. It became so distracting that it was very difficult to relate to characters, and the story quickly lost steam.-1/10 for characters as they were unlovable, made unrealistic choices, and did not have depth. This can also be largely attributed to the first reason since developers traded focus on building a solid story for unpopular agendas described above.-9/10 for graphics and post apocalyptic atmosphere.-7/10 for combat. There was lack of variety for stealth takedowns.It's such a shame when producers choose to politicize games with agendas rather than entertain players. This is why the entertainment industry desperately needs producers who know and care about their audience, not postmodernists who try to force their ideology on others via the entertainment avenue.Conclusion: save your money, time, and energy. NaughtyDog has lost my vote.",0.0,No hate speech detected.
how to screw a great thing,dishamg,7 July 2020,How to screw a great thing just give it to naughty dog and neil druckmann the game have potential to be on of the the greatest in the history for me just bad ending screw all the game .. yes the game had good gameplay and graphics and i enjoyed it but with bad ending and weak storyline could make it one of the worst games i have ever played,0.0,No hate speech detected.
What have you done?!,megaminiman-14417,2 July 2020,"A few days ago this game was rated 5. (I don't remember the last number) but now it's rating number grew, this game is so terrible and the ""haters"" are honest, turning a female character into a lesbian out of thin air is not okay and saying she's the first playable strong female character in the history of gaming is a lie, Samus from Metroid came first",0.0,No hate speech detected.
Storyline is really bad,bear0785,2 July 2020,The storyline of the first one is much better than this one!!,0.0,No hate speech detected.
Bad game,beboslev,2 July 2020,I wait 7 years to play The last of Us2 with Ellie and Joel but i get nothing like that. My biggest mistake is to start playing this game i really dont like it. first one was very good this one is just bad really bad.,0.0,No hate speech detected.
weak story,amasackran,1 July 2020,"The story is weak not worth buying it, we waited for 5 years for this?!!",0.0,No hate speech detected.
"It's fine, but it's no ""The Last of Us 1""",charlesutah,1 July 2020,"After playing The Last of Us Part II, I gotta say I liked the first one more for sure (still one of the best games ever made, but also NOT for children), though there were some very good parts I saw-the Joel/Ellie museum scene and the country house scenes with Ellie, Dina, and Dina's baby were very touching, the bigger infected enemies were just terrifying, the ""boss battle"" mechanic looks interesting, and the first two hours were just jaw-dropping. I gotta say, it was brave to release it now during a viral pandemic, but since I am so tired of everything going on right now, this completely exhausted me and not in a good way. It's a very long game, there are extremely heavy themes to pick out, and in the end, I got pulled out of the story multiple times saying ""it's two or three revenge plots... how original..."" and ""people can choose whatever lifestyle choice they want, and have that represented, but do they really have to shove it down my throat? Can't I just skip this scene and that scene? I already avoid the movies that put men/women making out in a bed; I didn't need to see a heterosexual sex scene NOR a LGBT make-out session today...""
So my consensus? Meh... I want to play the first one again, but that's pretty much it.",0.0,No hate speech detected.
The biggest disappointment,tanyastar-31712,29 June 2020,"If you love first part because of the story, Ellie and Joel relationship,love them like daughter and father then you will be very disappointed.This game will make you feel really bad and deceived.",0.0,No hate speech detected.
Worst game ever.,jojofagqualquer,27 June 2020,The game is just horrible for the simple fact that they killed Joel and he was supposed to be an immortal and not ridiculous character and die in an extremely forced and ridiculous way.,1.0,Hate speech detected in categories: violence
