Username,Review,Score,Review Date,Hate Speech,Reasoning
Kabhold," Horrible, lazy writing. Subverting expectations doesnt make a story automatically good nor does it mean its great writing. Revenge is bad, so kill a few hundred people but dont kill the person who killed your friend. Dumb. Lazy. Writing. Gameplay is good.",1,"Dec 22, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
Nerakus, An absolute disappointment ****. I can’t believe I wasted so much time and money on this. They really messed up the storytelling.I get what they were trying to do but it really doesn’t work. Such a bummer to play after Playing the ﬁrst game. It’s not worth it.,0,"Dec 20, 2023",0,No hate speech detected.
deltanine," This is the next Metroid Other M.  It is a pinaccle of giant middle ﬁngers to fans of the ﬁrst game and if Neil Drunkman weren't so egotistical and didn't let Anita Sarkeesian poison his mind, this game wouldn't be as widely hated as it is.  As far as I'm concerned the real reason gaming journalists gave this game all those Game of the Year Awards was to troll the people that criticized the game.  Neil Drunkman had no excuse to kill oﬀ Joel within  the ﬁrst hour of the game.  Remember Resistance 2?  In that game, Nathan Hale had a far more digniﬁed demise.  He did something of value before he died, he died from a swift gunshot to the head, he was killed so that he doesn't become a Chimera monster, and he dies at the end of the game.  In Resistance 3, we play as Hale's killer but we are far more willing to do so, because he was far more sympathetic and he was remorseful for killing Nathan even though he knew it was the lesser of two evils.  Bottom line: Last of Us Part II is an abomination and Neil Drunkman deserves to be ﬁred.",0,"Dec 19, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
kaisuisen, This game would be good if not the holes in the plot and if we could skip entire 10hr of play as Abby. Abby and genderbender Lev are like Joel and Elly? No way. Part 2 doesn't exist. It's some fanﬁc written by 19 yo activist under pills.,0,"Dec 17, 2023",0,No hate speech detected.
RoRolando," Big disappointment after the ﬁrst part. I recognize the criticism that it is a terrible story.  Unfortunately but true. Most personalities are insuﬀerable. In addition, too often there is aimless walking and talking. The number of times you get jumped in a cut scene is ridiculous. *spoiler* in the end I did not even care if one of them would survive. The graphics part saves things somewhat. Very disappointed!",2,"Dec 17, 2023",0,No hate speech detected.
NastyWheeler," Aufgrund der linke wokeness leider nicht spielbar! Der Protagonist des ersten Teils, welcher von jedem geliebt wurde wird einfach von einem unwichtigen Charakter getötet, von dem man vorher noch nie etwas gehört hat!",0,"Dec 16, 2023",0,No hate speech detected.
Zhuotai12," Gameplay is good and amazing graphics. Plot was just trash and forced.  Terrible writing and no substance to the new characters. People who gave this game a great score are just sadistic, mentally ill, and thrive on people hating the game. Probably the same people who thought the ﬁrst game was so predictable too.",2,"Dec 15, 2023",0,No hate speech detected.
DorianBarberYT," All the good this game has, the great animations, gameplay, crafting, shooting & thrill. None of that matters without the multiplayer. On The Last Of Us Remastered I have 1575 hour and the vast majority of that is from the Multiplayer. I probably only put about 25 hours in the story. I purchased Part 2 knowing that it was having the multiplayer worked on. Then they announced that we would get the stand alone multiplayer. Now that’s been cancelled and we have nothing. What a complete disappointment.",0,"Dec 15, 2023",0,No hate speech detected.
," GruﬀMG Worst writing in a video game EVER. A complete bore to play through and very repetitive. The characters are boring and unlikable. The story makes no sense and the characters make really dumb decisions. So bad it can ruin your initial experience from the ﬁrst game which was incredible. I do not recommend, pretend this game doesn't exist if you enjoyed the ﬁrst one. Other than the nice graphics, there is nothing here to enjoy.",0,"Dec 11, 2023",0,No hate speech detected.
Silent-Heal," I wrote a review of this part in the review of the ﬁrst part. This part is terrible in terms of plot. An outrage to the player, to the script, to common sense. I think the scriptwriters of ﬁlms and games are sick, they have some kind of psychological problems, hatred, depression, despair. In most scenarios, they constantly kill all the characters, even the main ones. Disgusting part, disgusting ending, the whole game was a waste. Don't write scripts, go get treatment from a psychologist and stop excruciate people. I hope I never see your games, much less buy them. Because of such fools there is nothing to watch anymore.",0,"Dec 6, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
darkrings," Naughty Dog's battle design is not so prominent in today's big game year, tlou1 is a strong story driven game, every time you sneak and assassinate, explore the map just to see the new story, and when neil made the story like this, it was clear that the game was useless. A ton of pointless lgbtq elements, coupled with various scandals from the producers, all I can say is that if you haven't tasted **** to ruin your day, just taste this video game lol",0,"Dec 5, 2023",0,No hate speech detected.
Tarnvxxs," The gameplay of this game has no strong diﬀerences from the 1st part, the plot was disappointing with the death of the senseless Joel, because we killed him hard, and we spent the whole game trying to take revenge, and in the end what? we didn't take revenge :). We were running after Abby senselessly just to let her run away? Absolutely senseless death of Joel, he could have been removed from the list in another way... I was literally forced to play as Abby, I can’t express in words how negative this character makes me feel I’m not talking about a bunch of unnecessary LGBT propaganda in places. The gameplay and zombies (infected with Cordyceps) are deﬁnitely still fun and scary. Tlou 3 can be saved, if it start with Joel words “wake up,Ellie ”",1,"Dec 3, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
