Username,Review,Score,Review Date,Hate Speech,Reasoning
Kabhold," Horrible, lazy writing. Subverting expectations doesnt make a story automatically good nor does it mean its great writing. Revenge is bad, so kill a few hundred people but dont kill the person who killed your friend. Dumb. Lazy. Writing. Gameplay is good.",1,"Dec 22, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
Nerakus, An absolute disappointment ****. I can’t believe I wasted so much time and money on this. They really messed up the storytelling.I get what they were trying to do but it really doesn’t work. Such a bummer to play after Playing the ﬁrst game. It’s not worth it.,0,"Dec 20, 2023",0,No hate speech detected.
deltanine," This is the next Metroid Other M.  It is a pinaccle of giant middle ﬁngers to fans of the ﬁrst game and if Neil Drunkman weren't so egotistical and didn't let Anita Sarkeesian poison his mind, this game wouldn't be as widely hated as it is.  As far as I'm concerned the real reason gaming journalists gave this game all those Game of the Year Awards was to troll the people that criticized the game.  Neil Drunkman had no excuse to kill oﬀ Joel within  the ﬁrst hour of the game.  Remember Resistance 2?  In that game, Nathan Hale had a far more digniﬁed demise.  He did something of value before he died, he died from a swift gunshot to the head, he was killed so that he doesn't become a Chimera monster, and he dies at the end of the game.  In Resistance 3, we play as Hale's killer but we are far more willing to do so, because he was far more sympathetic and he was remorseful for killing Nathan even though he knew it was the lesser of two evils.  Bottom line: Last of Us Part II is an abomination and Neil Drunkman deserves to be ﬁred.",0,"Dec 19, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
kaisuisen, This game would be good if not the holes in the plot and if we could skip entire 10hr of play as Abby. Abby and genderbender Lev are like Joel and Elly? No way. Part 2 doesn't exist. It's some fanﬁc written by 19 yo activist under pills.,0,"Dec 17, 2023",0,No hate speech detected.
RoRolando," Big disappointment after the ﬁrst part. I recognize the criticism that it is a terrible story.  Unfortunately but true. Most personalities are insuﬀerable. In addition, too often there is aimless walking and talking. The number of times you get jumped in a cut scene is ridiculous. *spoiler* in the end I did not even care if one of them would survive. The graphics part saves things somewhat. Very disappointed!",2,"Dec 17, 2023",0,No hate speech detected.
NastyWheeler," Aufgrund der linke wokeness leider nicht spielbar! Der Protagonist des ersten Teils, welcher von jedem geliebt wurde wird einfach von einem unwichtigen Charakter getötet, von dem man vorher noch nie etwas gehört hat!",0,"Dec 16, 2023",0,No hate speech detected.
Zhuotai12," Gameplay is good and amazing graphics. Plot was just trash and forced.  Terrible writing and no substance to the new characters. People who gave this game a great score are just sadistic, mentally ill, and thrive on people hating the game. Probably the same people who thought the ﬁrst game was so predictable too.",2,"Dec 15, 2023",0,No hate speech detected.
DorianBarberYT," All the good this game has, the great animations, gameplay, crafting, shooting & thrill. None of that matters without the multiplayer. On The Last Of Us Remastered I have 1575 hour and the vast majority of that is from the Multiplayer. I probably only put about 25 hours in the story. I purchased Part 2 knowing that it was having the multiplayer worked on. Then they announced that we would get the stand alone multiplayer. Now that’s been cancelled and we have nothing. What a complete disappointment.",0,"Dec 15, 2023",0,No hate speech detected.
," GruﬀMG Worst writing in a video game EVER. A complete bore to play through and very repetitive. The characters are boring and unlikable. The story makes no sense and the characters make really dumb decisions. So bad it can ruin your initial experience from the ﬁrst game which was incredible. I do not recommend, pretend this game doesn't exist if you enjoyed the ﬁrst one. Other than the nice graphics, there is nothing here to enjoy.",0,"Dec 11, 2023",0,No hate speech detected.
Silent-Heal," I wrote a review of this part in the review of the ﬁrst part. This part is terrible in terms of plot. An outrage to the player, to the script, to common sense. I think the scriptwriters of ﬁlms and games are sick, they have some kind of psychological problems, hatred, depression, despair. In most scenarios, they constantly kill all the characters, even the main ones. Disgusting part, disgusting ending, the whole game was a waste. Don't write scripts, go get treatment from a psychologist and stop excruciate people. I hope I never see your games, much less buy them. Because of such fools there is nothing to watch anymore.",0,"Dec 6, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
darkrings," Naughty Dog's battle design is not so prominent in today's big game year, tlou1 is a strong story driven game, every time you sneak and assassinate, explore the map just to see the new story, and when neil made the story like this, it was clear that the game was useless. A ton of pointless lgbtq elements, coupled with various scandals from the producers, all I can say is that if you haven't tasted **** to ruin your day, just taste this video game lol",0,"Dec 5, 2023",0,No hate speech detected.
Tarnvxxs," The gameplay of this game has no strong diﬀerences from the 1st part, the plot was disappointing with the death of the senseless Joel, because we killed him hard, and we spent the whole game trying to take revenge, and in the end what? we didn't take revenge :). We were running after Abby senselessly just to let her run away? Absolutely senseless death of Joel, he could have been removed from the list in another way... I was literally forced to play as Abby, I can’t express in words how negative this character makes me feel I’m not talking about a bunch of unnecessary LGBT propaganda in places. The gameplay and zombies (infected with Cordyceps) are deﬁnitely still fun and scary. Tlou 3 can be saved, if it start with Joel words “wake up,Ellie ”",1,"Dec 3, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
amayu03," Title: A Disastrous Sequel That Ruins the Legacy - The Last of Us Part IIRating: ★☆☆☆☆Where do I even begin with The Last of Us Part II? It's a colossal disappointment that fails to live up to the high standards set by its predecessor. This sequel is a perfect example of how not to continue a beloved franchise.First and foremost, the story is an absolute trainwreck. It's convoluted, poorly paced, and ﬁlled with unnecessary twists and turns that only serve to confuse and frustrate players. The narrative decisions made by the developers seem like they were chosen purely for shock value rather than for the sake of meaningful storytelling. The characters we grew to love in the ﬁrst game are mishandled and their arcs are completely undermined, leaving players feeling detached and uninvested.Speaking of characters, the new additions to the cast are equally disappointing. Ellie, the strong and relatable protagonist from the original game, is reduced to a one-dimensional revenge-driven character with questionable decision-making skills. The game tries to force players into empathizing with her, but it's hard to sympathize when her actions become increasingly irrational and out of **** gameplay, while solid in the ﬁrst game, feels clunky and uninspired here. The stealth mechanics are frustratingly inconsistent, often leading to cheap deaths and repetitive encounters. The level design lacks creativity and fails to oﬀer any real sense of exploration. It's a far cry from the immersive and engaging gameplay experience we had in the ﬁrst **** aspect that cannot be ignored is the game's heavy-handed political agenda. The Last of Us Part II seems more interested in pushing a speciﬁc message than in delivering an enjoyable gaming experience. The themes of revenge, violence, and LGBTQ+ representation are forced upon the players, overshadowing any potential for genuine emotional **** top of all these ﬂaws, the technical issues are abundant. The game suﬀers from frequent frame rate drops, long loading times, and numerous glitches that break immersion and hinder gameplay. It's astonishing that a game of this magnitude could be released with such glaring technical **** conclusion, The Last of Us Part II is a soulless cash grab that tarnishes the legacy of its predecessor. It fails to capture the essence of what made the original game so special and instead delivers a mess of a story, uninspired gameplay, and technical problems. Fans of the ﬁrst game will be left feeling betrayed, and newcomers will be left wondering what all the hype was about. Save your time and money—this sequel is a disgrace.",0,"Nov 30, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
Massasin137," hab mich so auf das Spiel gefreut, bereits nach 4 Stunden war ich so genervt dass ich es beendet habe. War Geldverschwendung!",1,"Nov 25, 2023",0,No hate speech detected.
Psitivebomthis1," Bad writing. Bad story. Bad ending. Rukned the amazing experience that The last of us 1 was for me. Good job. 1/10.They say Joel deserved to die because he killed so many people. Who cares about morality in post apocalyptic game? Guess what, Joel killed for his daughter, just like how abby killed for her father. People can forgive abby but not Joel. That's stupid. Also, if they had even TRIED to make abby empathisable IN THE LEAST or relatable or likable or showed that she had an absolutely legit reason to kill an old and popular character, it would have been understood. But no she just appears from some where and goes, ""I gotta kill him because he killed my father,"" and the player doesn't even get to relate with her pain or her suﬀering missing her father. You are SUPPOSED to feel bad for her, rather than actually relating with her missing her father and wanting revenge. Morality can f oﬀ in this world, unlike how everyone is saying, because its a post apocalypse and everyone will do whatever to survive. In the game as Ellie you also kill a ton of people. Does Ellie deserve to be curbstomped by some guys now?Also, I have seen a bunch of people who claim to have played only the ﬁrst 4 or 5 hours proudly saying that they like it, and are also criticising players who leave a bad review but have ﬁnished the whole game. Automatically discredited. Play the whole game ﬁrst, then leave a review. Joel isn't properly given the redemption he deserved in this game. Just because some didn't like Joel and left a good review doesn't mean theirs are more valuable than the ones that liked him and have left a negetive one. Leave your own experience. Don't criticise others because they didn't have a similar experience with the characters as you did. Everyone has diﬀerent sentiments attached to the same game. Calling us angry men because we didn't like what happened with Joel and how his value was drowned over some needless plot channeling is a bad move. Get yourself ﬁxed. Just because you disliked him doesnt mean he deserved to be forgotten and his value diminished after his death. The gamers who liked him and held more worth of him in their hearts deserved a better account of him, and our opinions are just as valuable as yours.I also would like to point out how you think every bad review is a result of review bombing but every good one is legit. Coping much? Next time, make a good game rather than trying to desperately and shamelessly escape criticism after having made a total dumpster ﬁre.",0,"Nov 23, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
khayal0," Story and gameplay both simply bad. If you value these two over some average graphics , don't event bother to try.",3,"Nov 22, 2023",0,No hate speech detected.
TheycallmeDSP, Food this game is the worst game ever made and it made my eyes bleed for that one adult scene. Door Joel would never do that ooookay? Neil Druckman is pretentious dood,0,"Nov 20, 2023",0,No hate speech detected.
theirishmoose," Wow. This isa masterclass in how to destroy your own character. In the end I was just hoping Ellie would ﬁnally die. She is so unlikeable and makes these horrible decisions which for a movie would be ﬁne (maybe) but as the game forces the player to act on Ellie's choices I felt constant disconnect between me and the character I played. The game is also too long with a completely pointless ""Epilogue"". One thing it does though is drive the point home how incredibly unlikeable Ellie has become.",2,"Nov 20, 2023",1,Hate speech detected. Keyword: 'destroy'. Intensity: High
Cevanno01, What can I say that hasn't already been said. A shame that so many emoyees where overworked and this is the game that came out as a result. They can't even be proud of the ﬁnished product they worked on.,0,"Nov 19, 2023",0,No hate speech detected.
Trunker," IF you think the narrative of  this game is ""masterful"".. that tells more about you than the  game. It means that you have not ever read a book or watch a real movie in your entire life,if you think that Neil's **** writing is good.",0,"Nov 19, 2023",0,No hate speech detected.
Septum90," You can really feel the absence of Bruce Straley in this game...honestly this game is about a 7/10, but giving it lower just because of all the people positive review bombing it.",1,"Nov 18, 2023",0,No hate speech detected.
EfeKaraguc," Stupid,ugly,boring,sjw,bad characters,bad acting,bad writing,bad story.Gameplay is good but it isn't saving the game",2,"Nov 17, 2023",0,No hate speech detected.
shadowspin, The graphics and game mechanics are really great.  but the story is the biggest revenge drama garbage I've ever seen.  That has almost nothing to do with zombie apocalypse survival.,3,"Nov 13, 2023",0,No hate speech detected.
Igl00Man," My issues with the Last of Us Part 2 is how the narrative is not good whatsoever. The gameplay is ﬁne, and somewhat better than the ﬁrst game (which is what is saving it from a grade lower than a 4), but the issues stem with the characterization and story, the strongest points of the previous game. When a game/series with an excellent story has a weak outing in a sequel, it will stand out. Abby's motivations are understandable, but the way it was tied to the ﬁrst game just feels so hamﬁsted, and requires too many mental gymnastics to make it work.  It doesn't help that Abby is very impulsive of a character, reckless, and has no issues endangering her friends to get what she wants. Ellie, who's spent her whole life in this apocalypse, makes tons of illogical decisions that don't make sense with someone who has lived through it. She also has some of the same issues as Abby in this game. Joel's death wasn't what it should have been. He should have went out in a blaze of glory, or protecting Ellie, but instead he went out like a punk.  Now, while the characterizations were terrible, the actual protrayals are well performed, and I don't condone those who sent threatening messages to the actors. Sometimes, you need to learn to separate the art from the artist. I don't hate the actors who played these characters, I'm just not a fan of the character they portrayed. I can't recommend this game even at a discount, simply for how hard the narrative drops the ball compared to the ﬁrst game.",4,"Nov 11, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
2b139, Worst game ever **** fact that this won any awards makes me loose faith in humanity.,0,"Nov 11, 2023",0,No hate speech detected.
unknown_no_know," I regret the time and money I spent on this piece. I assume the concept was interesting, but it was not meant for me. However, as a (yet) free person, I can still provide a rating based on my personal ideals and preferences.",0,"Nov 7, 2023",0,No hate speech detected.
Uo, I played it andIt's ass lmao the onlyreasonwhy igaved5Isonly for the gameplay,2,"Nov 6, 2023",0,No hate speech detected.
Jajwja, **** this game and socialjustice,0,"Nov 6, 2023",0,No hate speech detected.
roberthdg," So poorly written, I fear for the future of western gaming.",2,"Nov 5, 2023",0,No hate speech detected.
Fizzy123, Pales in comparison to the ﬁrst game story is woke nonsense just very poor writing won't buy third game mechanics are basically the ﬁrst game with little improvement disappointing game.,3,"Nov 5, 2023",0,No hate speech detected.
romme, This Game Doesn't Deserve As Game Of The Year But It Still Looks Garbage 0 Of Out 10.,0,"Nov 2, 2023",0,No hate speech detected.
Nicolaep, Don't recommend to buy. Oﬀensive western propaganda. First part was much better.,0,"Nov 1, 2023",0,No hate speech detected.
Sticky_Saiyan," All things gameplay and story are terriﬁc and build oﬀ the greatness laid out by the ﬁrst game. But due to horrible story writing in aspects people who have played know all too well, The Last of Us Part 2 may very well be considered a slap in the face to fans of the original game. Major disservice to fans and clearly tries to appeal to a niche group of individuals. Upsettingly unsatisfactory to say the least.",2,"Oct 31, 2023",0,No hate speech detected.
Kingjacob1," Don’t get me wrong the combat, graphics, details, and the AI are great but unfortunately the story was just not it it tried to push a message that didn’t really work introduced new characters like Abby that were just boring",4,"Oct 31, 2023",0,No hate speech detected.
Horungar, would rather take a bullet in the eye than replay this hollywood **** game,0,"Oct 29, 2023",0,No hate speech detected.
iimarizinha_xz, Bad story.,4,"Oct 28, 2023",0,No hate speech detected.
Lost_StarFall," the story made me sick, all others are tier 1",4,"Oct 27, 2023",0,No hate speech detected.
Yurippe92," The gameplay is good, the crafting system is awesome, but none of the new characters are interesting and they're just annoying. The story is not enjoyable at all, specially in Abby's side.",4,"Oct 25, 2023",0,No hate speech detected.
Theplayfan," the worst gameplay-wise, this game feels mediocre and rushed, Sony disappointing the community, unfortunately there will be those who defend this crap because we only had one game this year",0,"Oct 24, 2023",0,No hate speech detected.
Mrblicky," Just about the worst game I've paid full price for. Preachy, arrogant writers give characters plot armor through a story ﬁlled with plotholes and dumb decisions from people we're supposed to be relating to. Awful experience I couldn't bring myself to ﬁnish it. Naughty dog is doomed",3,"Oct 24, 2023",0,No hate speech detected.
poland31, This Game Was One Of The Most Garbage Of The Year 2020 I Still Ponies And Media BS Defending This Crap For No Reason But Am Still Really Hate Games So Much I So Rate This Game 4/10 For Good.,4,"Oct 23, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
Marson2899, Not a paced well storyline,3,"Oct 22, 2023",0,No hate speech detected.
-simple-, trash of trash,2,"Oct 21, 2023",0,No hate speech detected.
rayab2345," agenda game ,bad story , bad characters, the most disappointing game in videogames history L NaughtyDogs",0,"Oct 21, 2023",0,No hate speech detected.
nsinc," Worst game of 2020, they destroyed everything they loved about the ﬁrst part, to promote the agenda, Neil Druckman is incredible mediocrity, the ""the last of us"" series ended with the ﬁrst part.",0,"Oct 21, 2023",1,Hate speech detected. Keyword: 'destroy'. Intensity: High
Hussein_Ali1277, The story was a disaster,0,"Oct 17, 2023",0,No hate speech detected.
RoninWatari, This game was a huge let down. The story was terrible. I loved the ﬁrst game. I don't know what happened to this one but I would recommend skipping it.,3,"Oct 17, 2023",0,No hate speech detected.
Chrislizardc, A stale plot and uninteresting characters made me rate this game a 1,1,"Oct 17, 2023",0,No hate speech detected.
Yulez," Im quite sure i did review this game when it came out, so it prop. got deleted. To make it short: If you loved the ﬁrst Part you will hate it. No matter what the 93 Critic Score says. The charakter are not the same as in the ﬁrst one.",0,"Oct 11, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
Goske," 'The Last Of Us Part II' REALLY killed of what made the original so amazing, and replaced it with 2-dimensional characters.",4,"Oct 10, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
biohash66, A game that kills everything fun about the ﬁrst game. I don't want empathy for the killer of my favorite character of the franchise.,0,"Oct 9, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
mikvs, recommendation: don't play,2,"Oct 7, 2023",0,No hate speech detected.
YungPitbull4, After a 10/10 masterpiece of the ﬁrst one they really messed this game up and ruined the future for the franchise,1,"Oct 7, 2023",0,No hate speech detected.
caoheebh," Abby: A boring and uncharismatic characterAbby is the game's main antagonist. She is a former member of the Fireﬂies, an organization seeking a cure for the brain infection that caused the apocalypse. Abby is a strong and skilled woman, but she is also a violent and cruel **** game spends half the time with Abby, which is a problem for many players. Abby is a boring and uncharismatic character. She's not interesting or relatable, and her revenge story is simplistic and predictable.A forced storyThe game tries to force players to empathize with Abby. The game shows Abby's story in a way that makes it more relatable, but that's not enough to make players like her.Abyss is a horrible character. She kills Joel, a character loved by the public, in a brutal and unnecessary way. It's hard for players to forget this, even if Abby had her own reasons for doing what she did.ConclusionThe Last of Us Part II is a technically impressive game, but its story is disappointing. The story tries to force players to empathize with an undesirable character, and it doesn't **** game is a good example of how a poorly executed story can ruin a gaming experience. If you're looking for a gripping, gripping story, The Last of Us Part II isn't the game for you.",1,"Sep 23, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
PrometheusWWE," It's quite disappointing to see Naughty Dog, despite their remarkable technical achievements, falter with a subpar plot, two-dimensional characters, superﬂuous 'political messages,' and an overall tedious storytelling experience.",0,"Sep 22, 2023",0,No hate speech detected.
Nate2244," This is not a continuation of the game, it is a diﬀerent game. This is a game you don't want to play. Hype for the sake of hype, complete disappointment.",0,"Sep 18, 2023",0,No hate speech detected.
, Frogﬂight I’m just speechless Why did you do that Did you take drugs while making games?,0,"Sep 17, 2023",0,No hate speech detected.
dumptruck2013," The worst story driven game that has ever been made. Coming from someone who has played Destiny, Halo 5 and Diablo 3",0,"Sep 16, 2023",0,No hate speech detected.
naveedesahar, Best thing about The Last of Us was story and characters. Not recommended to people who enjoyed ﬁrst game.,0,"Sep 16, 2023",0,No hate speech detected.
pranjal779, poop game I could have written better story for this game,0,"Sep 15, 2023",0,No hate speech detected.
AgusP," It is possibly the worst game I have ever played in my life.I give it a 1 for the impressive visual section, but the game has repetitive mechanics to the point of boredom, a story without any sense, excessive duration that deﬁnitely makes you end up hating **** only game that ends up ridiculing and destroying the protagonist Abby. This game should never have existed.",1,"Sep 14, 2023",1,Hate speech detected. Keyword: 'destroy'. Intensity: High
9-Ball," If I were a 14 year old lesbian woman, I would deﬁnitely like it. But I'm not!",0,"Sep 14, 2023",0,No hate speech detected.
BrandoTheGreat," Not a good game, The story is bland and boring and the main character Ellie isn't interesting and looks like a linebacker the whole ""Boss babe"" Mentality has gone too far.",2,"Sep 12, 2023",0,No hate speech detected.
VictorBejerano, This game is Bs… I can’t believe the developers gave us such a masterpiece as the original tlou just to come and give us this crap. No respect for the characters we love and the story has no sense. The end is not what we “worked” so much during all the hours we spent here. Not recommended if you played the original game 1 ,1,"Sep 10, 2023",0,No hate speech detected.
1984-2020, 1 point for graphics. 1 point for music. One of the worst games in the history of the industry. This is what happens when people with no talent are given a little power. Rest in peace Naughty Dog.,2,"Sep 9, 2023",0,No hate speech detected.
alijandro316," The Last of Us Part II: A Melancholic Muddle - 0/10 The realm of narrative-driven video games is replete with tales of grandeur, and ""The Last of Us"" stood as a shining example of such magniﬁcence. Thus, it's with a heavy heart that one must navigate the murky waters of its sequel, ""The Last of Us Part II."" From the outset, the game's tone feels disjointed. Where the original painted a poignant picture of humanity's struggle and the lengths one might go to protect loved ones, Part II meanders, oscillating between half-realized themes and tonal inconsistencies. The gravity of Ellie's journey, so deeply personal in its intent, is often lost amidst the cacophony of secondary narratives that add little to the overarching tale. Visually, while the world of ""The Last of Us Part II"" boasts intricate details, there's a palpable absence of soul. Environments, though technically marvelous, lack the atmospheric tension that once made every corner turned a potential threat. This sterility permeates even the character models, rendering emotional sequences somewhat hollow. The game's narrative decisions remain its most contentious aspect. Characters, once beloved, are oﬀered up on the altar of shock value, their arcs concluding in ways that feel unearned and, at times, gratuitous. This penchant for subversion, rather than adding layers, often detracts from the emotional heft of the storyline. Gameplay, a potential saving grace, also falters. Combat scenarios, though more varied, often descend into repetition, lacking the strategic depth of the original. Stealth, a staple of the series, feels more forced than ever, with AI patterns that seem predictable rather than intuitive. In sum, ""The Last of Us Part II"" stands as a shadow of its predecessor. Despite its technical prowess and moments of genuine emotional depth, the game feels like a disjointed tapestry of missed opportunities. One can't help but yearn for the nuanced storytelling and immersive world-building of the original.",0,"Sep 9, 2023",0,No hate speech detected.
MetaViljo," Nothing new gameplay wise. It looks good but the story is so bad, written by edgy teenager. This aint a story is agenda. A message. I felt being tortured as the story reveal more and more. The characters are the worse.",1,"Sep 9, 2023",0,No hate speech detected.
HenryF, The worst game that I’ve ever played. So bad that it’s ruined the ﬁrst game.,0,"Sep 8, 2023",0,No hate speech detected.
KPS5," Unfortunately, neil druckmann is adding his cringe politics and strong women in this game just like he added it and ruined uncharted 4.",0,"Sep 7, 2023",0,No hate speech detected.
ShadowShadex," Very terrible writing, gameplay ****. If you like watching movies this game is for you as there is more cutscenes then gameplay.",0,"Sep 7, 2023",0,No hate speech detected.
KillianZane," The Last of Us Part 2, unfortunately, deserves its 0/10 rating due to its deeply disappointing story that left many fans feeling betrayed. The narrative choices seemed designed to shock rather than serve a meaningful purpose, alienating players and tarnishing the legacy of the original game. The online component, with its lackluster multiplayer experience, failed to capture the essence of what made the ﬁrst game's multiplayer enjoyable, leaving players longing for the depth and fun they once had. Overall, The Last of Us Part 2 represents a stark departure from the excellence of its predecessor, resulting in a disheartening and unsatisfying gaming experience.",0,"Sep 7, 2023",0,No hate speech detected.
TimPhoeniX," Naughty Dog has once again proven that they're masters of PS hardware. Unfortunately, story driven game cannot be carried just by its look. ND's leadership has failed their employees and wasted years of their lives with this project.",3,"Sep 7, 2023",0,No hate speech detected.
JaMex1," Graphics are great but they mess Up the story, as a player we don't want to play as the enemy",3,"Sep 5, 2023",0,No hate speech detected.
